order_id,customer_id,order_date,ship_date,delivery_date,ship_mode,origin_warehouse,dest_city,dest_state,product_category,product_id,quantity,unit_price,order_value,shipping_cost,delivery_time_days,delivery_status,returned,cost_of_goods,labor_time_minutes,order_priority,promo_code,customer_segment,carrier,profit,profit_margin,order_week,order_month,order_year,fulfillment_lag_days,delivery_lag,on_time
O000001,C1560,2025-03-28,2025-03-28,2025-04-06,Ground,WH_Central,City_162,IL,Sports,P2133,2,51.42,102.84,5.05,9,Delivered,No,36.04,22,Critical,FREESHIP,SMB,CarrierC,59.11,0.575,13,Mar,2025,0,9,0
O000002,C1320,2025-02-14,2025-02-15,2025-02-24,Ground,WH_West,City_26,OH,Beauty,P9195,2,121.83,243.66,7.19,9,Delivered,No,105.65,36,Medium,WELCOME5,Enterprise,CarrierD,126.5,0.519,7,Feb,2025,1,8,0
O000003,C2176,2025-04-09,2025-04-11,2025-04-17,Ground,WH_West,City_177,NC,Sports,P8790,4,28.5,114,6.21,6,Delivered,No,45.86,44,High,FREESHIP,Enterprise,CarrierA,56.65,0.497,15,Apr,2025,2,4,1
O000004,C2097,2024-07-09,2024-07-09,2024-07-14,Ground,WH_West,City_187,GA,Home,P3357,2,76.23,152.46,5.72,5,Delivered,Yes,54.84,38,Medium,FREESHIP,Enterprise,CarrierB,87.34,0.573,28,Jul,2024,0,5,1
O000005,C2251,2024-05-28,2024-05-29,2024-06-05,Air,WH_North,City_103,CA,Electronics,P6941,5,84.63,423.15,32.72,7,Delivered,No,211.57,70,High,NA,Enterprise,CarrierD,170.46,0.403,22,May,2024,1,6,0
O000006,C2169,2024-11-06,2024-11-06,2024-11-11,Ground,WH_North,City_365,PA,Apparel,P4561,3,113.28,339.84,6.69,5,Delivered,No,150.59,39,Low,NA,Enterprise,CarrierB,177.88,0.523,45,Nov,2024,0,5,1
O000007,C1633,2024-03-23,2024-03-23,2024-03-28,Ground,WH_West,City_3,NC,Sports,P4934,2,72.45,144.9,6.97,5,Delivered,No,55.69,26,Medium,WELCOME5,SMB,CarrierC,79.12,0.546,12,Mar,2024,0,5,1
O000008,C1048,2024-08-20,2024-08-21,2024-08-30,Ground,WH_South,City_201,PA,Electronics,P7396,2,77.37,154.74,6.98,9,Delivered,No,77.37,28,Low,FREESHIP,Consumer,CarrierD,67.03,0.433,34,Aug,2024,1,8,0
O000009,C2151,2025-12-01,2025-12-02,2025-12-03,Overnight,WH_South,City_195,CA,Sports,P9171,5,26.83,134.15,51.73,1,Delivered,No,49.32,65,Medium,NA,Enterprise,CarrierB,25.3,0.189,49,Dec,2025,1,0,1
O000010,C2326,2025-09-16,2025-09-16,2025-09-23,Ground,WH_North,City_11,CA,Apparel,P1273,3,75.43,226.29,6.23,7,Delivered,No,102.79,45,Low,NA,Consumer,CarrierA,111.87,0.494,38,Sep,2025,0,7,1
O000011,C1023,2024-09-10,2024-09-10,2024-09-16,Ground,WH_South,City_387,FL,Sports,P6453,1,51.28,51.28,6.51,6,Delivered,No,19.55,17,High,NA,SMB,CarrierB,23.18,0.452,37,Sep,2024,0,6,1
O000012,C2862,2024-01-22,2024-01-22,2024-01-28,Ground,WH_Central,City_359,OH,Home,P9899,5,51.58,257.9,5.75,6,Delivered,No,95.32,65,Low,FREESHIP,Consumer,CarrierC,149.03,0.578,4,Jan,2024,0,6,1
